lang_name	keep_rows	remove_rows	total_rows	keep_tokens	remove_tokens	total_tokens	keep_disk	remove_disk	total_disk	source
vie_Latn	87769030	6189904	93958934	110109983350	7709656883	117819640233	531.66GB	108.21GB	639.86GB	fineweb-2, mala, New CC
fas_Arab	82798155	9490432	92288587	67578991262	7909008696	75487999958	485.58GB	113.12GB	598.70GB	fineweb-2, mala, New CC
kor_Hang	79219710	6162796	85382506	59069582058	4618041584	63687623642	313.45GB	62.12GB	375.57GB	fineweb-2, mala, New CC
swe_Latn	77323851	5078520	82402371	59213293115	3919398191	63132691306	250.87GB	68.22GB	319.09GB	fineweb-2, mala, New CC
hun_Latn	70788907	5180743	75969650	65618918098	4856773770	70475691868	297.63GB	81.93GB	379.56GB	fineweb-2, mala, New CC
ukr_Cyrl	67869004	4309161	72178165	53787399655	3411050099	57198449754	399.29GB	76.85GB	476.14GB	fineweb-2, mala, New CC
ell_Grek	67476934	5673174	73150108	57627729245	5033701328	62661430573	395.84GB	104.94GB	500.78GB	fineweb-2, mala, New CC
tha_Thai	55470733	4287430	59758163	46310113539	3586313457	49896426996	489.45GB	102.79GB	592.24GB	fineweb-2, mala, New CC
arb_Arab	53699784	4058820	57758604	25206494574	1919537653	27126032227	259.62GB	67.29GB	326.91GB	fineweb-2, mala
aze_Latn	51375448	6440800	57816248	3304892851	391998142	3696890993	39.02GB	9.96GB	48.99GB	mala
slv_Latn	50407115	4050353	54457468	11664896428	836484895	12501381323	64.47GB	11.78GB	76.25GB	fineweb-2, mala, New CC
cat_Latn	48833850	3777806	52611656	16492529523	1127785501	17620315024	90.31GB	13.27GB	103.58GB	fineweb-2, mala, New CC
fin_Latn	47804845	4089970	51894815	43434149418	3752485923	47186635341	188.26GB	53.66GB	241.92GB	fineweb-2, mala, New CC
ces_Latn	47538243	3205068	50743311	42196504149	2844242984	45040747133	182.19GB	45.39GB	227.58GB	mala, New CC
hbs_Latn	42983851	8053883	51037734	1533546836	287342257	1820889093	20.87GB	5.97GB	26.84GB	mala
fil_Latn	40145082	6324356	46469438	3465395327	477703550	3943098877	29.08GB	8.57GB	37.65GB	fineweb-2, mala
mal_Mlym	39099424	3879628	42979052	7004739037	558833199	7563572236	87.99GB	17.05GB	105.03GB	fineweb-2, mala, New CC
nob_Latn	38880874	4327512	43208386	24132117400	2810156027	26942273427	130.25GB	61.74GB	191.99GB	fineweb-2, mala
guj_Gujr	38815483	4542267	43357750	5066610791	461536476	5528147267	55.95GB	12.56GB	68.52GB	fineweb-2, mala, New CC
bul_Cyrl	37109490	2564551	39674041	32285330961	2225794143	34511125104	228.95GB	52.02GB	280.97GB	fineweb-2, mala, New CC
kan_Knda	34200429	2703744	36904173	4761010852	359209522	5120220374	64.09GB	10.36GB	74.45GB	fineweb-2, mala, New CC
hin_Deva	29149297	2467121	31616418	22078969777	1812839173	23891808950	204.39GB	43.26GB	247.65GB	fineweb-2, mala, New CC
tam_Taml	26549719	2897512	29447231	5880141624	460751525	6340893149	74.75GB	17.96GB	92.72GB	fineweb-2, mala, New CC
kaz_Cyrl	25783423	1665775	27449198	6368127023	432669049	6800796072	59.94GB	12.10GB	72.03GB	fineweb-2, mala, New CC
heb_Hebr	25236869	1610727	26847596	20735757088	1333874583	22069631671	137.70GB	26.77GB	164.47GB	fineweb-2, mala, New CC
ara_Arab	25144413	3242838	28387251	17213574044	2230033226	19443607270	142.24GB	66.99GB	209.23GB	mala, New CC
srp_Cyrl	25133722	1750095	26883817	6910169257	496071441	7406240698	56.20GB	7.92GB	64.12GB	fineweb-2, mala, New CC
est_Latn	24178713	2857229	27035942	2889535853	294199417	3183735270	24.37GB	8.30GB	32.67GB	mala, New CC
sqi_Latn	24157991	3250860	27408851	2375287198	237810779	2613097977	19.63GB	4.68GB	24.32GB	mala, New CC
isl_Latn	24060884	2229951	26290835	6324840132	561737628	6886577760	32.48GB	8.46GB	40.95GB	fineweb-2, mala, New CC
pan_Guru	24024934	3161192	27186126	2267588753	227604665	2495193418	24.86GB	8.00GB	32.85GB	mala, New CC
mlt_Latn	23368058	2083800	25451858	3242175100	322802170	3564977270	15.27GB	4.62GB	19.89GB	fineweb-2, mala, New CC
mkd_Cyrl	22606373	1893276	24499649	5286572157	396984521	5683556678	47.84GB	6.59GB	54.43GB	fineweb-2, mala, New CC
bos_Latn	21617841	1708944	23326785	11011860447	831587878	11843448325	55.61GB	9.93GB	65.55GB	fineweb-2, mala, New CC
kat_Geor	20267734	1298877	21566611	6159450048	413356344	6572806392	76.87GB	14.07GB	90.94GB	fineweb-2, mala, New CC
lit_Latn	20086404	1511808	21598212	17469370400	1327008316	18796378716	85.02GB	17.04GB	102.07GB	fineweb-2, mala, New CC
ben_Beng	19903823	1373977	21277800	12264843404	848747436	13113590840	133.78GB	28.28GB	162.05GB	fineweb-2, mala, New CC
hrv_Latn	19832012	1535666	21367678	15023164163	1191215105	16214379268	71.28GB	15.50GB	86.78GB	fineweb-2, mala, New CC
glg_Latn	19314836	1577639	20892475	4452701716	372719013	4825420729	26.45GB	4.19GB	30.64GB	fineweb-2, mala, New CC
ron_Latn	18277620	1416130	19693750	23419218925	1814233268	25233452193	103.32GB	18.75GB	122.08GB	mala, New CC
ceb_Latn	18142710	1824813	19967523	1905000074	184518567	2089518641	13.14GB	1.92GB	15.07GB	fineweb-2, mala, New CC
hye_Armn	16931618	1402451	18334069	4646434746	392682044	5039116790	38.46GB	10.02GB	48.48GB	fineweb-2, mala, New CC
msa_Latn	16895725	1509247	18404972	12271781872	1051426013	13323207885	62.58GB	31.87GB	94.45GB	mala, New CC
tgk_Cyrl	16597415	1037857	17635272	3459399965	241467427	3700867392	27.01GB	4.67GB	31.68GB	fineweb-2, mala, New CC
mar_Deva	15369095	1352852	16721947	4051127609	287284906	4338412515	48.89GB	6.67GB	55.56GB	fineweb-2, mala, New CC
bel_Cyrl	15223440	1063399	16286839	5300207513	353845465	5654052978	42.12GB	6.30GB	48.42GB	fineweb-2, mala, New CC
nep_Deva	13179513	1735050	14914563	3397388068	354948901	3752336969	53.76GB	13.18GB	66.94GB	mala, New CC
urd_Arab	12916548	1282876	14199424	5630362004	463494414	6093856418	40.38GB	7.76GB	48.14GB	fineweb-2, mala, New CC
slk_Latn	12785724	850416	13636140	10712942539	712569284	11425511823	49.82GB	9.32GB	59.14GB	mala, New CC
mon_Cyrl	11457963	1374100	12832063	2046997684	225169746	2272167430	23.80GB	7.35GB	31.14GB	mala, New CC
dan_Latn	11334787	645362	11980149	8911302729	506753046	9418055775	39.56GB	8.67GB	48.23GB	mala, New CC
eus_Latn	10878956	720917	11599873	2855972563	180733600	3036706163	17.27GB	2.78GB	20.05GB	fineweb-2, mala, New CC
azj_Latn	10372969	764572	11137541	6022895665	427970898	6450866563	50.72GB	9.30GB	60.02GB	fineweb-2, mala, New CC
swa_Latn	10315887	1779710	12095597	968630506	131703640	1100334146	8.27GB	2.41GB	10.68GB	mala, New CC
als_Latn	9944153	695212	10639365	7836141782	540493626	8376635408	20.64GB	3.54GB	24.18GB	fineweb-2, mala
sin_Sinh	9909180	1122278	11031458	2925072011	251401829	3176473840	30.48GB	7.12GB	37.60GB	fineweb-2, mala, New CC
lat_Latn	9860432	968127	10828559	1668306644	209536740	1877843384	8.31GB	3.12GB	11.43GB	fineweb-2, mala, New CC
tel_Telu	9811862	790372	10602234	3896863854	293324245	4190188099	44.54GB	8.60GB	53.13GB	fineweb-2, mala, New CC
afr_Latn	9380855	858541	10239396	3019920317	252812540	3272732857	14.95GB	2.87GB	17.82GB	fineweb-2, mala, New CC
ekk_Latn	9242101	772474	10014575	4786558837	401825098	5188383935	35.70GB	11.02GB	46.72GB	fineweb-2, mala
zsm_Latn	8669616	795543	9465159	4221713581	365482979	4587196560	29.38GB	8.32GB	37.70GB	fineweb-2, mala
ltz_Latn	8585994	1206703	9792697	1184897509	146264352	1331161861	6.31GB	1.78GB	8.09GB	fineweb-2, mala, New CC
som_Latn	7468883	716703	8185586	2202705680	193457169	2396162849	9.57GB	3.11GB	12.68GB	fineweb-2, mala, New CC
kir_Cyrl	6471465	468938	6940403	2309361964	183288823	2492650787	19.56GB	3.38GB	22.94GB	fineweb-2, mala, New CC
cym_Latn	6470707	515431	6986138	2006982648	141852600	2148835248	9.58GB	1.85GB	11.43GB	fineweb-2, mala, New CC
nor_Latn	6132979	733565	6866544	1270841389	150121421	1420962810	8.30GB	2.56GB	10.85GB	mala, New CC
uzb_Latn	6067357	715365	6782722	929536346	98711969	1028248315	8.16GB	2.55GB	10.70GB	mala, New CC
und_Kana	5828958	1112743	6941701	1127498758	219262371	1346761129	15.74GB	13.35GB	29.09GB	fineweb-2
mya_Mymr	5797901	449022	6246923	5283838392	404359403	5688197795	37.30GB	7.01GB	44.31GB	fineweb-2, mala, New CC
epo_Latn	5774232	456781	6231013	2379901847	177310694	2557212541	11.20GB	2.09GB	13.29GB	fineweb-2, mala, New CC
ary_Arab	5674014	465361	6139375	1381043534	114170897	1495214431	16.87GB	4.02GB	20.90GB	fineweb-2, mala
lvs_Latn	5511570	382807	5894377	2735089643	185991078	2921080721	20.10GB	6.38GB	26.48GB	fineweb-2, mala
hau_Latn	5483504	662278	6145782	438939432	49378753	488318185	3.00GB	1.02GB	4.02GB	mala
gle_Latn	5469893	428919	5898812	1646862879	134535091	1781397970	8.77GB	1.45GB	10.21GB	fineweb-2, mala, New CC
nno_Latn	5193977	553478	5747455	1352669317	124047788	1476717105	6.97GB	1.72GB	8.69GB	fineweb-2, mala, New CC
ory_Orya	5126879	444546	5571425	325737649	23327622	349065271	6.83GB	1.00GB	7.84GB	fineweb-2, mala
amh_Ethi	4864739	302322	5167061	1206165659	77954431	1284120090	9.57GB	1.45GB	11.02GB	fineweb-2, mala, New CC
khm_Khmr	4742933	344103	5087036	2232352688	158446037	2390798725	28.40GB	4.27GB	32.67GB	fineweb-2, mala, New CC
tat_Cyrl	4716122	390385	5106507	1289634062	103348827	1392982889	10.86GB	2.01GB	12.87GB	fineweb-2, mala, New CC
und_Bamu	4710727	1003273	5714000	199461487	42487126	241948613	74.20GB	18.13GB	92.33GB	fineweb-2
und_Copt	4396025	361856	4757881	218113278	17953855	236067133	8.34GB	820.70MB	9.14GB	fineweb-2
arz_Arab	4192689	347362	4540051	794229453	62860109	857089562	6.40GB	1.08GB	7.48GB	fineweb-2, mala, New CC
und_Tang	3940389	741813	4682202	209679616	39474037	249153653	21.14GB	7.14GB	28.28GB	fineweb-2
und_Xsux	3897670	694594	4592264	276929680	49350944	326280624	12.89GB	9.07GB	21.96GB	fineweb-2
lav_Latn	3761886	347112	4108998	2117953391	196445717	2314399108	13.00GB	6.85GB	19.86GB	mala, New CC
pus_Arab	3714572	493239	4207811	905769724	106283077	1012052801	7.14GB	2.20GB	9.33GB	mala, New CC
hbs_Cyrl	3468184	463549	3931733	131154368	17533630	148687998	2.30GB	519.49MB	2.81GB	mala, New CC
war_Latn	3428865	283720	3712585	137362551	11186470	148549021	1.72GB	154.06MB	1.87GB	fineweb-2, mala, New CC
und_Yiii	3389232	417382	3806614	232881682	28679247	261560929	24.04GB	5.81GB	29.85GB	fineweb-2
multi_Latn	3107041	394014	3501055	2394003291	303446934	2697450225	17.16GB	7.08GB	24.24GB	New CC
mlg_Latn	2848787	437742	3286529	288343925	41289304	329633229	2.55GB	730.41MB	3.26GB	mala, New CC
und_Hira	2784331	579376	3363707	361772656	75279266	437051922	4.53GB	3.76GB	8.30GB	fineweb-2
uzn_Cyrl	2607331	304118	2911449	396888383	30844213	427732596	5.95GB	1.37GB	7.32GB	fineweb-2, mala
hat_Latn	2579899	226905	2806804	464182180	41249393	505431573	2.42GB	523.00MB	2.93GB	fineweb-2, mala, New CC
zul_Latn	2469561	294213	2763774	333050580	38274466	371325046	2.00GB	613.05MB	2.60GB	fineweb-2, mala
kur_Latn	2408980	327926	2736906	482017657	51673963	533691620	3.17GB	993.86MB	4.14GB	mala
div_Thaa	2251318	263724	2515042	418221698	43981761	462203459	4.07GB	969.02MB	5.01GB	fineweb-2, mala, New CC
tgl_Latn	2243457	345689	2589146	369185190	35556642	404741832	2.56GB	638.68MB	3.18GB	mala, New CC
uzb_Cyrl	2223336	314253	2537589	194015771	27596487	221612258	2.76GB	1.06GB	3.82GB	mala
fry_Latn	2143363	232493	2375856	605324884	65895071	671219955	2.89GB	871.76MB	3.74GB	fineweb-2, mala, New CC
sna_Latn	2140911	181610	2322521	295326389	24539379	319865768	1.71GB	408.90MB	2.11GB	fineweb-2, mala
fao_Latn	2091383	163656	2255039	199427123	14185118	213612241	1.57GB	374.64MB	1.94GB	fineweb-2, mala
und_Laoo	2055385	364696	2420081	212140743	37641065	249781808	3.91GB	2.41GB	6.32GB	fineweb-2
sun_Latn	1993116	193823	2186939	275243524	25283531	300527055	1.59GB	518.40MB	2.10GB	fineweb-2, mala, New CC
snd_Arab	1906809	154845	2061654	1115520953	104995934	1220516887	4.91GB	1.75GB	6.66GB	fineweb-2, mala, New CC
und_Cyrl	1859952	427202	2287154	1318689379	302882407	1621571786	4.74GB	17.52GB	22.26GB	fineweb-2
und_Kits	1858513	315452	2173965	269537597	45749571	315287168	11.61GB	15.94GB	27.55GB	fineweb-2
bak_Cyrl	1853030	132427	1985457	401912595	27615015	429527610	3.60GB	699.52MB	4.28GB	fineweb-2, mala, New CC
asm_Beng	1819123	115517	1934640	380777691	23668706	404446397	4.19GB	865.12MB	5.03GB	fineweb-2, mala, New CC
cos_Latn	1785324	274663	2059987	228063884	35244405	263308289	1.02GB	553.13MB	1.56GB	mala
ckb_Arab	1781141	177877	1959018	841600318	76590473	918190791	6.04GB	1.41GB	7.45GB	fineweb-2, mala, New CC
und_Hluw	1714758	374917	2089675	70773026	15473909	86246935	2.97GB	3.21GB	6.19GB	fineweb-2
ast_Latn	1629413	144175	1773588	213119458	19079424	232198882	1.30GB	367.59MB	1.66GB	fineweb-2, mala, New CC
jpn_Japn	1603444	177396	1780840	148767026	17991990	166759016	5.64GB	2.01GB	7.65GB	mala
ibo_Latn	1590738	117637	1708375	233496425	16647241	250143666	1.35GB	425.41MB	1.76GB	fineweb-2, mala
und_Grek	1569549	224657	1794206	755835440	108186315	864021755	6.47GB	6.68GB	13.15GB	fineweb-2
mri_Latn	1534556	133721	1668277	354497489	28724714	383222203	1.59GB	450.64MB	2.03GB	fineweb-2, mala
ars_Arab	1530800	108785	1639585	461046240	32763858	493810098	4.54GB	1.72GB	6.26GB	fineweb-2
anp_Deva	1438448	140264	1578712	805494914	78543685	884038599	9.96GB	1.98GB	11.93GB	fineweb-2, mala
khk_Cyrl	1438065	128138	1566203	615036855	54802524	669839379	7.61GB	1.70GB	9.32GB	fineweb-2
und_Shrd	1407082	216594	1623676	130798763	20134027	150932790	5.64GB	2.18GB	7.83GB	fineweb-2
lao_Laoo	1395591	105796	1501387	628083421	49711455	677794876	7.12GB	1.27GB	8.39GB	fineweb-2, mala, New CC
und_Lina	1369182	271627	1640809	130393849	25868357	156262206	6.49GB	3.58GB	10.08GB	fineweb-2
und_Samr	1351547	158986	1510533	64056628	7535148	71591776	4.00GB	1.60GB	5.61GB	fineweb-2
ori_Orya	1335134	145907	1481041	128692048	11966672	140658720	2.01GB	734.47MB	2.73GB	mala
jav_Latn	1256017	122508	1378525	379692611	35262346	414954957	1.83GB	560.53MB	2.38GB	fineweb-2, mala, New CC
yid_Hebr	1246571	160660	1407231	287371557	36138475	323510032	2.65GB	1.21GB	3.86GB	mala, New CC
und_Cans	1231332	248047	1479379	106394586	21432772	127827358	3.25GB	2.58GB	5.82GB	fineweb-2
nya_Latn	1205461	138307	1343768	230593919	26287180	256881099	1.25GB	417.53MB	1.66GB	fineweb-2, mala
hmn_Latn	1203798	195179	1398977	173066894	28591695	201658589	1.01GB	518.71MB	1.51GB	mala
tir_Ethi	1200652	78323	1278975	125794757	8160310	133955067	1.07GB	277.10MB	1.34GB	fineweb-2, mala
uig_Arab	1187691	78596	1266287	513721480	37424973	551146453	3.46GB	894.22MB	4.34GB	fineweb-2, mala, New CC
wln_Latn	1177825	74381	1252206	53985428	3609088	57594516	496.29MB	74.59MB	570.88MB	fineweb-2, mala, New CC
und_Adlm	1122406	194295	1316701	43627839	7552232	51180071	1.02GB	814.39MB	1.82GB	fineweb-2
und_Egyp	1119452	190500	1309952	97414397	16577256	113991653	2.36GB	3.28GB	5.64GB	fineweb-2
und_Syrc	1117085	115880	1232965	42713980	4430903	47144883	19.26GB	4.04GB	23.29GB	fineweb-2
swh_Latn	1116479	82674	1199153	449922982	32709567	482632549	3.11GB	765.91MB	3.86GB	fineweb-2, mala
yor_Latn	1115090	108671	1223761	189616381	18770619	208387000	1.00GB	290.82MB	1.29GB	fineweb-2, mala, New CC
uzn_Latn	1030779	68064	1098843	466187028	30783081	496970109	3.75GB	984.28MB	4.72GB	fineweb-2
und_Mend	1025555	293719	1319274	16584104	4749688	21333792	852.01MB	1.92GB	2.75GB	fineweb-2
xho_Latn	1022752	88436	1111188	168588652	13928346	182516998	1.11GB	236.24MB	1.34GB	fineweb-2, mala
gla_Latn	1011881	115439	1127320	518470312	76338962	594809274	1.89GB	862.84MB	2.74GB	fineweb-2, mala, New CC
bre_Latn	980751	86361	1067112	134684418	11683477	146367895	722.44MB	220.74MB	943.18MB	fineweb-2, mala, New CC
sot_Latn	917368	78477	995845	223239399	17818098	241057497	1.01GB	270.04MB	1.28GB	fineweb-2, mala
nan_Latn	905480	86684	992164	26581741	2542373	29124114	461.57MB	90.68MB	552.25MB	fineweb-2, mala
tel_Latn	898416	92513	990929	204174363	21268208	225442571	804.44MB	424.30MB	1.20GB	fineweb-2, mala
bew_Latn	885967	99331	985298	370268275	41512966	411781241	2.65GB	740.55MB	3.37GB	fineweb-2
smo_Latn	883152	83255	966407	241447679	21174910	262622589	1.07GB	277.36MB	1.34GB	fineweb-2, mala
glk_Arab	876518	99662	976180	44947361	5295917	50243278	601.18MB	163.50MB	764.68MB	fineweb-2, mala
che_Cyrl	875249	117291	992540	118782781	15175063	133957844	1004.27MB	330.76MB	1.30GB	fineweb-2, mala, New CC
orm_Latn	859552	77396	936948	35455189	3192465	38647654	454.59MB	143.07MB	597.66MB	mala
zho_Hani	840529	65421	905950	578500034	46682125	625182159	2.48GB	935.49MB	3.40GB	mala
haw_Latn	808973	88123	897096	227682786	23607105	251289891	828.93MB	286.48MB	1.09GB	fineweb-2, mala
pnb_Arab	806696	71035	877731	133554258	11759081	145313339	840.98MB	470.54MB	1.28GB	fineweb-2, mala, New CC
oci_Latn	760653	59163	819816	123298619	10544506	133843125	673.94MB	184.72MB	858.66MB	fineweb-2, mala, New CC
und_Linb	735073	107674	842747	52969489	7759007	60728496	5.87GB	951.67MB	6.80GB	fineweb-2
chv_Cyrl	731681	60721	792402	188931289	16352295	205283584	1.02GB	345.08MB	1.36GB	fineweb-2, mala, New CC
kin_Latn	701701	67289	768990	197645683	16840972	214486655	1.33GB	152.85MB	1.48GB	fineweb-2, mala
srp_Latn	630883	54645	685528	158438190	13194623	171632813	739.10MB	199.78MB	938.88MB	mala
und_Brai	590104	125329	715433	57846795	12285768	70132563	1.80GB	1.21GB	3.02GB	fineweb-2
kaa_Cyrl	588714	48010	636724	1077791157	86210883	1164002040	3.33GB	591.84MB	3.91GB	fineweb-2, mala
lug_Latn	570875	40314	611189	36434285	2645136	39079421	328.94MB	81.26MB	410.20MB	fineweb-2, mala
und_Sgnw	567289	106447	673736	37335201	7005636	44340837	1.30GB	1.03GB	2.33GB	fineweb-2
pcm_Latn	563555	80446	644001	135969753	19602630	155572383	1.35GB	220.55MB	1.57GB	fineweb-2, mala
pbt_Arab	556450	36696	593146	273038535	18001871	291040406	2.24GB	459.13MB	2.69GB	fineweb-2, mala
min_Latn	548216	32976	581192	28263734	1778558	30042292	311.78MB	41.31MB	353.09MB	fineweb-2, mala
tuk_Latn	526599	48403	575002	211693996	23044261	234738257	1.06GB	351.17MB	1.40GB	fineweb-2, mala
lim_Latn	526453	43831	570284	49155865	4853085	54008950	322.41MB	67.00MB	389.41MB	fineweb-2, mala, New CC
und_Hung	520096	155234	675330	42343188	12638248	54981436	1.80GB	2.16GB	3.96GB	fineweb-2
gsw_Latn	519601	64762	584363	171127342	22150339	193277681	1.88GB	236.94MB	2.11GB	fineweb-2, mala, New CC
aze_Arab	481854	107193	589047	16648051	3703517	20351568	270.78MB	119.59MB	390.37MB	mala
kmr_Latn	473752	37033	510785	239776283	19235360	259011643	1.53GB	349.17MB	1.87GB	fineweb-2, mala, New CC
roh_Latn	467789	40875	508664	59955655	5001132	64956787	356.52MB	127.43MB	483.95MB	fineweb-2, mala, New CC
vec_Latn	451528	28943	480471	35505789	2411583	37917372	237.43MB	66.99MB	304.42MB	fineweb-2, mala
san_Deva	426600	30299	456899	186191638	14189057	200380695	1.27GB	843.45MB	2.10GB	fineweb-2, mala, New CC
und_Bali	422491	77078	499569	39617063	7227619	46844682	1.11GB	632.20MB	1.73GB	fineweb-2
und_Nshu	419712	89398	509110	38530917	8207025	46737942	947.06MB	1.19GB	2.12GB	fineweb-2
und_Modi	386819	67330	454149	52581442	9152364	61733806	15.32GB	6.91GB	22.23GB	fineweb-2
gmh_Latn	383582	47470	431052	769118138	95181833	864299971	5.13GB	1.32GB	6.46GB	fineweb-2
sco_Latn	382193	37494	419687	43052956	4462316	47515272	341.07MB	93.90MB	434.97MB	fineweb-2, mala
nds_Latn	379541	44239	423780	79449114	11680148	91129262	366.92MB	120.62MB	487.54MB	fineweb-2, mala, New CC
und_Lana	377578	110799	488377	47547716	13952718	61500434	656.28MB	1.91GB	2.55GB	fineweb-2
azb_Arab	376136	24159	400295	81100334	6512897	87613231	587.17MB	194.45MB	781.61MB	fineweb-2, mala, New CC
tsn_Latn	375822	23431	399253	24793693	1539868	26333561	196.99MB	39.40MB	236.40MB	fineweb-2, mala
und_Mong	364921	51360	416281	78042843	10983967	89026810	1.23GB	789.07MB	2.00GB	fineweb-2
sah_Cyrl	357019	24172	381191	110127024	7767196	117894220	998.26MB	193.37MB	1.16GB	mala, New CC
und_Ethi	351771	49199	400970	39746869	5559031	45305900	1.15GB	1.00GB	2.15GB	fineweb-2
rus_Latn	349613	47555	397168	77311596	10539553	87851149	720.03MB	463.00MB	1.16GB	mala
pri_Latn	348994	27203	376197	142266923	11088423	153355346	2.00GB	482.39MB	2.47GB	fineweb-2, New CC
und_Hebr	345200	46867	392067	17418774	2364906	19783680	522.83MB	439.74MB	962.57MB	fineweb-2
mon_Latn	344803	46679	391482	31562725	4272922	35835647	171.78MB	258.68MB	430.46MB	mala
pap_Latn	339801	22617	362418	127886685	8519807	136406492	647.29MB	212.76MB	860.05MB	fineweb-2, mala
tgk_Latn	337952	48394	386346	26438893	3785992	30224885	188.90MB	209.04MB	397.94MB	mala
plt_Latn	330574	28226	358800	118460554	8017834	126478388	907.24MB	181.18MB	1.06GB	fineweb-2, mala
lmo_Latn	324184	29246	353430	41372202	4087243	45459445	220.11MB	56.19MB	276.30MB	fineweb-2, mala, New CC
bod_Tibt	318522	34223	352745	252055519	28333902	280389421	3.14GB	952.50MB	4.07GB	mala, New CC
und_Saur	315779	73823	389602	15262640	3568108	18830748	380.09MB	466.42MB	846.50MB	fineweb-2
yue_Hani	300490	34038	334528	9022287	1033780	10056067	754.23MB	153.57MB	907.80MB	fineweb-2, mala, New CC
bar_Latn	270311	30793	301104	92484503	12459866	104944369	303.67MB	135.77MB	439.44MB	fineweb-2, mala
und_Thaa	262004	37561	299565	7676020	1100437	8776457	373.46MB	251.02MB	624.48MB	fineweb-2
und_Dupl	258897	53065	311962	14141364	2898494	17039858	717.72MB	479.65MB	1.17GB	fineweb-2
arg_Latn	258196	22522	280718	29968199	3050366	33018565	198.25MB	41.56MB	239.80MB	fineweb-2, mala, New CC
pms_Latn	258133	20250	278383	23550682	1855427	25406109	164.20MB	37.24MB	201.44MB	fineweb-2, mala, New CC
hif_Latn	254946	37466	292412	220188883	38738091	258926974	742.93MB	838.96MB	1.54GB	fineweb-2, mala
und_Thai	254351	47642	301993	47880654	8968434	56849088	828.46MB	310.74MB	1.11GB	fineweb-2
und_Runr	252177	39003	291180	154681829	23923892	178605721	1.16GB	3.05GB	4.21GB	fineweb-2
und_Vaii	243465	93267	336732	71284748	27307886	98592634	489.53MB	1.75GB	2.23GB	fineweb-2
vol_Latn	241216	23733	264949	12263160	1277740	13540900	120.59MB	26.50MB	147.09MB	fineweb-2, mala, New CC
und_Glag	237678	72074	309752	20382745	6180908	26563653	454.53MB	907.86MB	1.33GB	fineweb-2
nrm_Latn	234986	31988	266974	71123343	9679192	80802535	623.95MB	223.13MB	847.08MB	fineweb-2, mala
aeb_Arab	230690	32194	262884	51787621	7227234	59014855	611.71MB	222.12MB	833.83MB	fineweb-2
kat_Latn	229636	46985	276621	37422991	7656984	45079975	235.88MB	348.49MB	584.38MB	mala
ido_Latn	222870	22616	245486	15648562	1484861	17133423	125.75MB	34.15MB	159.90MB	fineweb-2, mala, New CC
kal_Latn	220324	17347	237671	76084692	6029455	82114147	353.94MB	192.91MB	546.85MB	fineweb-2, mala
pam_Latn	219651	22527	242178	21423196	2448261	23871457	123.68MB	35.43MB	159.11MB	fineweb-2, mala
und_Khmr	216989	36249	253238	10970789	1832720	12803509	451.42MB	398.62MB	850.04MB	fineweb-2
lus_Latn	206911	16421	223332	66594095	5158458	71752553	369.22MB	108.92MB	478.14MB	fineweb-2, mala
und_Mymr	204739	27296	232035	5634372	751179	6385551	270.03MB	237.63MB	507.65MB	fineweb-2
und_Tibt	201485	32842	234327	15437322	2516279	17953601	925.56MB	481.84MB	1.37GB	fineweb-2
und_Dsrt	197996	37900	235896	4469212	855487	5324699	237.30MB	536.84MB	774.15MB	fineweb-2
und_Geor	196346	49504	245850	22222812	5602956	27825768	357.20MB	600.63MB	957.84MB	fineweb-2
