script	keep_rows_conv	remove_rows_conv	total_rows_conv	keep_tokens_conv	remove_tokens_conv	total_tokens_conv	keep_disk_converted	remove_disk_converted	total_disk_converted	language_count	source
Saur	315.78K	73.82K	389.60K	15.26M	3.57M	18.83M	398.55MB	489.07MB	887.62MB	1	fineweb-2
Dupl	258.90K	53.06K	311.96K	14.14M	2.90M	17.04M	752.58MB	502.95MB	1.26GB	1	fineweb-2
Runr	252.18K	39.00K	291.19K	154.68M	23.92M	178.61M	1.25GB	3.28GB	4.52GB	2	fineweb-2,mala
Vaii	243.47K	93.27K	336.73K	71.28M	27.31M	98.59M	513.30MB	1.88GB	2.39GB	1	fineweb-2
Glag	237.68K	72.07K	309.75K	20.38M	6.18M	26.56M	476.61MB	951.96MB	1.43GB	1	fineweb-2
Dsrt	198.00K	37.90K	235.90K	4.47M	855.49K	5.32M	248.83MB	562.92MB	811.75MB	1	fineweb-2
Mroo	186.14K	22.85K	208.99K	6.42M	788.69K	7.21M	2.43GB	335.38MB	2.77GB	1	fineweb-2
Bopo	181.71K	24.45K	206.16K	30.63M	4.12M	34.75M	3.45GB	890.68MB	4.35GB	1	fineweb-2
Mtei	175.69K	20.34K	196.03K	49.11M	5.76M	54.87M	805.36MB	574.03MB	1.38GB	2	fineweb-2,mala
Khar	153.37K	40.04K	193.41K	6.75M	1.76M	8.52M	250.30MB	182.38MB	432.67MB	1	fineweb-2
Brah	138.03K	22.72K	160.75K	7.85M	1.29M	9.15M	273.71MB	243.75MB	517.47MB	1	fineweb-2
Bhks	131.90K	27.03K	158.93K	3.93M	805.58K	4.74M	190.96MB	154.63MB	345.59MB	1	fineweb-2
Hmnp	118.87K	12.33K	131.20K	6.83M	708.37K	7.54M	436.28MB	151.81MB	588.09MB	1	fineweb-2
Phag	107.75K	17.58K	125.34K	3.41M	556.36K	3.97M	141.68MB	93.31MB	234.99MB	1	fineweb-2
Merc	107.52K	38.04K	145.56K	7.61M	2.69M	10.30M	215.43MB	472.23MB	687.66MB	1	fineweb-2
Kali	105.87K	24.33K	130.20K	1.39M	319.46K	1.71M	105.24MB	91.45MB	196.70MB	2	fineweb-2
Plrd	104.31K	21.07K	125.38K	5.47M	1.10M	6.57M	214.53MB	225.25MB	439.77MB	1	fineweb-2
Lisu	101.48K	20.06K	121.53K	24.00M	4.74M	28.74M	204.24MB	527.21MB	731.45MB	2	fineweb-2
Hmng	101.02K	23.34K	124.36K	5.37M	1.24M	6.61M	153.20MB	196.99MB	350.19MB	1	fineweb-2
Nkoo	98.77K	25.89K	124.65K	4.91M	1.07M	5.98M	2.13GB	233.87MB	2.36GB	2	fineweb-2,mala
Gran	97.96K	21.57K	119.53K	3.57M	785.93K	4.36M	135.27MB	243.90MB	379.18MB	1	fineweb-2
Gonm	94.82K	16.28K	111.10K	2.83M	486.36K	3.32M	106.89MB	142.16MB	249.05MB	1	fineweb-2
Cher	94.19K	25.99K	120.19K	9.12M	2.45M	11.57M	245.29MB	689.18MB	934.47MB	2	fineweb-2,mala
Tnsa	89.55K	17.93K	107.48K	3.28M	656.33K	3.93M	98.49MB	204.04MB	302.53MB	1	fineweb-2
Cprt	88.19K	14.11K	102.30K	7.87M	1.26M	9.13M	142.36MB	85.91MB	228.27MB	1	fineweb-2
Cari	77.73K	18.09K	95.82K	1.73M	401.78K	2.13M	89.37MB	76.01MB	165.38MB	1	fineweb-2
Diak	68.42K	22.40K	90.82K	2.87M	938.52K	3.81M	58.40MB	94.36MB	152.76MB	1	fineweb-2
Marc	67.80K	11.89K	79.69K	2.34M	410.50K	2.75M	66.51MB	95.34MB	161.85MB	1	fineweb-2
Mani	65.94K	9.56K	75.50K	6.27M	908.84K	7.17M	128.39MB	140.35MB	268.75MB	1	fineweb-2
Talu	65.77K	11.95K	77.72K	1.27M	231.55K	1.50M	78.51MB	62.21MB	140.72MB	2	fineweb-2,mala
Vith	65.14K	12.13K	77.28K	2.49M	464.49K	2.96M	124.41MB	95.26MB	219.66MB	1	fineweb-2
Nagm	63.57K	11.94K	75.51K	1.03M	193.45K	1.22M	58.20MB	73.87MB	132.08MB	1	fineweb-2
Ahom	60.21K	9.69K	69.90K	2.34M	376.34K	2.72M	127.53MB	70.68MB	198.21MB	1	fineweb-2
Java	58.52K	13.32K	71.84K	2.18M	496.30K	2.68M	66.55MB	116.13MB	182.68MB	1	fineweb-2
Palm	48.99K	5.32K	54.32K	424.13K	46.09K	470.22K	39.41MB	43.82MB	83.23MB	1	fineweb-2
Wara	46.80K	9.12K	55.92K	1.47M	286.76K	1.76M	58.48MB	52.76MB	111.24MB	1	fineweb-2
Olck	45.80K	4.06K	49.86K	6.69M	492.54K	7.19M	86.16MB	38.55MB	124.71MB	2	fineweb-2,mala
Khoj	39.85K	5.23K	45.09K	892.46K	117.20K	1.01M	43.07MB	40.20MB	83.27MB	1	fineweb-2
Rohg	35.21K	5.32K	40.53K	534.34K	80.72K	615.05K	36.76MB	41.06MB	77.82MB	1	fineweb-2
Sidd	34.75K	8.41K	43.16K	3.03M	732.80K	3.76M	46.06MB	93.44MB	139.51MB	1	fineweb-2
Yezi	33.92K	3.35K	37.27K	96.61K	9.53K	106.13K	29.36MB	14.31MB	43.67MB	1	fineweb-2
Ougr	32.34K	6.13K	38.47K	442.16K	83.82K	525.98K	31.03MB	37.95MB	68.98MB	1	fineweb-2
Avst	32.16K	6.62K	38.78K	1.75M	360.09K	2.11M	51.64MB	53.81MB	105.46MB	1	fineweb-2
Ital	32.06K	5.06K	37.12K	519.27K	81.93K	601.19K	34.30MB	29.24MB	63.53MB	1	fineweb-2
Wcho	31.94K	6.51K	38.45K	1.48M	301.04K	1.78M	58.25MB	74.54MB	132.79MB	1	fineweb-2
Kthi	31.07K	5.44K	36.51K	763.52K	133.75K	897.27K	30.79MB	35.73MB	66.52MB	1	fineweb-2
Tavt	30.95K	3.63K	34.57K	670.82K	78.65K	749.47K	29.30MB	14.97MB	44.26MB	1	fineweb-2
Takr	30.70K	5.29K	35.99K	1.73M	298.02K	2.03M	30.89MB	45.59MB	76.48MB	1	fineweb-2
Tfng	29.84K	3.34K	33.18K	1.42M	148.55K	1.57M	35.12MB	24.87MB	59.99MB	4	fineweb-2
Tale	26.17K	2.80K	28.98K	220.84K	23.64K	244.48K	23.80MB	16.84MB	40.64MB	1	fineweb-2
Elba	24.86K	4.61K	29.48K	394.51K	73.22K	467.73K	24.19MB	19.19MB	43.38MB	1	fineweb-2
Zanb	24.46K	4.76K	29.21K	327.39K	63.68K	391.07K	26.07MB	40.03MB	66.10MB	1	fineweb-2
Sogo	22.29K	3.88K	26.16K	146.13K	25.41K	171.54K	17.82MB	20.07MB	37.89MB	1	fineweb-2
Soyo	22.21K	4.91K	27.12K	598.89K	132.47K	731.36K	25.04MB	36.77MB	61.81MB	1	fineweb-2
Dogr	21.29K	3.82K	25.11K	1.28M	229.94K	1.51M	29.94MB	23.89MB	53.84MB	1	fineweb-2
Kawi	20.28K	4.10K	24.38K	396.57K	80.26K	476.83K	20.90MB	24.30MB	45.20MB	1	fineweb-2
Phli	19.16K	2.88K	22.04K	41.16K	6.19K	47.35K	17.52MB	7.60MB	25.13MB	1	fineweb-2
Cham	17.92K	3.60K	21.52K	762.24K	153.32K	915.57K	21.12MB	39.91MB	61.03MB	1	fineweb-2
Nbat	17.61K	3.19K	20.80K	280.13K	50.76K	330.89K	18.90MB	15.97MB	34.87MB	1	fineweb-2
Nand	17.39K	3.36K	20.75K	307.12K	59.32K	366.44K	17.76MB	19.20MB	36.96MB	1	fineweb-2
Osma	16.98K	2.59K	19.57K	495.54K	75.61K	571.15K	19.16MB	15.11MB	34.27MB	1	fineweb-2
Sind	14.81K	4.24K	19.05K	315.61K	90.31K	405.93K	21.16MB	18.70MB	39.86MB	1	fineweb-2
Sogd	14.52K	2.73K	17.24K	307.50K	57.79K	365.30K	14.67MB	9.73MB	24.40MB	1	fineweb-2
Pauc	13.23K	4.28K	17.50K	1.88M	609.43K	2.49M	13.65MB	33.03MB	46.67MB	1	fineweb-2
Sylo	12.42K	2.88K	15.29K	922.71K	213.86K	1.14M	22.76MB	22.23MB	44.99MB	1	fineweb-2
Goth	11.84K	1.24K	13.08K	191.30K	19.67K	210.97K	11.59MB	3.62MB	15.22MB	2	fineweb-2,mala
Rjng	10.30K	2.36K	12.65K	595.51K	136.27K	731.78K	9.43MB	15.02MB	24.45MB	1	fineweb-2
Chrs	10.24K	1.26K	11.50K	45.98K	5.66K	51.64K	8.22MB	5.45MB	13.67MB	1	fineweb-2
Phlp	9.08K	2.03K	11.11K	31.62K	7.06K	38.69K	8.35MB	5.61MB	13.96MB	1	fineweb-2
Mand	8.73K	1.49K	10.21K	82.87K	14.11K	96.98K	9.07MB	5.24MB	14.31MB	1	fineweb-2
Tglg	8.58K	1.88K	10.46K	638.75K	140.15K	778.89K	11.22MB	10.89MB	22.11MB	1	fineweb-2
Shaw	8.41K	1.28K	9.69K	915.43K	139.72K	1.06M	13.65MB	12.62MB	26.27MB	1	fineweb-2
Hatr	7.44K	1.63K	9.07K	371.48K	81.61K	453.09K	10.15MB	13.53MB	23.68MB	1	fineweb-2
Bugi	7.03K	1.33K	8.36K	95.81K	18.11K	113.91K	6.90MB	6.18MB	13.09MB	2	fineweb-2,mala
Tagb	6.58K	1.14K	7.72K	30.92K	5.37K	36.30K	5.84MB	2.33MB	8.17MB	1	fineweb-2
Prti	6.05K	1.09K	7.15K	225.93K	40.79K	266.72K	7.31MB	4.57MB	11.89MB	1	fineweb-2
Narb	5.22K	835.0	6.06K	56.09K	8.97K	65.06K	6.01MB	7.12MB	13.13MB	1	fineweb-2
Sarb	4.99K	874.0	5.86K	170.46K	29.86K	200.31K	6.93MB	15.95MB	22.87MB	1	fineweb-2
Ugar	4.85K	653.0	5.50K	133.05K	17.92K	150.97K	4.03MB	2.47MB	6.50MB	1	fineweb-2
Lydi	4.59K	1.03K	5.62K	28.08M	6.29M	34.37M	77.22MB	70.99MB	148.21MB	1	fineweb-2
Buhd	3.16K	448.0	3.61K	7.77K	1.10K	8.87K	2.73MB	623.88KB	3.35MB	1	fineweb-2
Perm	2.87K	630.0	3.50K	19.17K	4.20K	23.37K	2.58MB	1.36MB	3.94MB	1	fineweb-2
Elym	1.66K	496.0	2.16K	61.25K	18.28K	79.53K	1.88MB	7.52MB	9.40MB	1	fineweb-2
Limb	59.0	15.0	74.0	32.32K	8.22K	40.53K	754.75KB	229.80KB	984.54KB	1	fineweb-2
Zyyy	17.0	8.0	25.0	2.27K	1.07K	3.33K	25.50KB	37.52KB	63.03KB	1	mala
